Time,tempin,tempout,humidity,windspeed,winddir,rainrate,dew,uv,heat,icon,desc
13:04:22,30.1,31.2,24.0,18.0,219.0,0.0,47.0,0,86.0,01d,clear sky
13:04:23,30.1,31.2,24.0,18.0,219.0,0.0,47.0,0,86.0,01d,clear sky
13:04:24,30.1,31.2,24.0,18.0,219.0,0.0,47.0,0,86.0,01d,clear sky
13:04:25,30.1,31.2,24.0,18.0,219.0,0.0,47.0,0,86.0,01d,clear sky
13:04:26,30.1,31.2,24.0,18.0,219.0,0.0,47.0,0,86.0,01d,clear sky
13:04:27,30.1,31.2,24.0,18.0,219.0,0.0,47.0,0,86.0,01d,clear sky
13:04:28,30.1,31.2,24.0,18.0,219.0,0.0,47.0,0,86.0,01d,clear sky
13:04:29,30.1,31.2,24.0,18.0,219.0,0.0,47.0,0,86.0,01d,clear sky
13:04:30,30.1,31.2,24.0,18.0,219.0,0.0,47.0,0,86.0,01d,clear sky
13:04:31,30.1,31.2,24.0,18.0,219.0,0.0,47.0,0,86.0,01d,clear sky
13:04:32,30.1,31.2,24.0,18.0,219.0,0.0,47.0,0,86.0,01d,clear sky
13:04:33,30.1,31.2,24.0,18.0,219.0,0.0,47.0,0,86.0,01d,clear sky
13:04:34,30.1,31.2,24.0,18.0,219.0,0.0,47.0,0,86.0,01d,clear sky
13:04:35,30.1,31.2,24.0,18.0,219.0,0.0,47.0,0,86.0,01d,clear sky
13:04:36,30.1,31.2,24.0,18.0,219.0,0.0,47.0,0,86.0,01d,clear sky
13:04:37,30.1,31.2,24.0,18.0,219.0,0.0,47.0,0,86.0,01d,clear sky
13:04:38,30.1,31.2,24.0,18.0,219.0,0.0,47.0,0,86.0,01d,clear sky
13:04:39,30.1,31.2,24.0,18.0,219.0,0.0,47.0,0,86.0,01d,clear sky
13:04:40,30.1,31.2,24.0,18.0,219.0,0.0,47.0,0,86.0,01d,clear sky
13:04:41,30.1,31.2,24.0,18.0,219.0,0.0,47.0,0,86.0,01d,clear sky
13:04:42,30.1,31.2,24.0,18.0,219.0,0.0,47.0,0,86.0,01d,clear sky
